samhita-adhyaya,"Slokas (Verses)",dummy1,dummy2
022-06,"<p>54-55. O Sandhyā, while you were performing severe penance&mdash;which had lasted for four yugas&mdash;in the earlier part of Tretā Yuga, after the Kṛta Yuga had elapsed, Dakṣa had begotten many chaste daughters who were also duly married.</p>",,
022-06,"<p>56. He gave twenty seven of his daughters to the moon in marriage. But the moon had a special liking for only Rohiṇī and he neglected others.</p>",,
022-06,"<p>57-59. Hence, the moon was cursed by Dakṣa, the redemption being, when he sees the Ether he would find her there. At that time the Gods had come near you but since you were having your mind fixed in me, the Gods in the company of Brahmā were not seen by you. The river Candrabhāgā arose being created by Brahmā for the redemption of the moon from the curse. It was then that Medhātithi arrived here.</p>",,
022-06,"<p>60. There is none equal to him in penance. There has never been such a person, nor will there ever be one. He has now started the sacrifice of Jyotiṣṭoma of many great rites.</p>",,
022-06,"<p>61. In that blazing sacrificial fire you shall cast off your body. You are pure now. May your other desires be also fulfilled.</p>",,
022-06,"<p>62. O Hermitess, these things have been ordained by me for my own end. O fortunate woman, do as I instruct you. Go to the sacrifice of that sage.</p>",,
022-06,"<p>Thus after instructing her for her welfare the lord vanished from the scene.</p>",,
022-07,"<h1>Chapter 7 - Sandhyā gets the name Arundhatī and marries Vasiṣṭha</h1>",,
022-07,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-07,"<p>1. O sage, when Śiva vanished after granting her the boons, Sandhyā too went to the place where Medhātithi was performing sacrifice.</p>",,
022-07,"<p>2. She entered the sacrificial hall without being observed by anyone, thanks to Śiva&rsquo;s favour. She recalled to her memory the brahmin boy who had instructed her in the procedure of penance.</p>",,
022-07,"<p>3. O great sage, at the bidding of Brahmā, Vasiṣṭha had assumed the guise of a brahmin boy and instructed her in the rites of penance.</p>",,
022-07,"<p>4-5. Meditating on that Brahmacārin, her tutor in the mode of austerities, Sandhyā thought of him as her future husband, and entered the blazing sacrificial fire unobserved by the sages. She was delighted that it was by Śiva&rsquo;s favour that she could enter the sacrificial fire.</p>",,
022-07,"<p>6. Her body itself had become sacrificial offering in that sacrifice. When it was burnt it could not be distinguished from the ordinary Puroḍāśā since it too had the same fragrance.</p>",,
022-07,"<p>7. At the bidding of Śiva, the god of fire sent forth her body to the pure zone of the sun.</p>",,
022-07,"<p>8. The sun severed her body into two halves and placed the same on his own chariot for the propitiation of the Pitṛs and the Devas.</p>",,
022-07,"<p>9-10. O great sage, the upper half of her body became the Prātaḥ Sandhyā (dawn) which is at the beginning or in the middle of a day and night. The lower half of her body became the Sāyaṃsandhyā (dusk) which is in the middle of a day and night. The period is always pleasing to the manes.</p>",,
022-07,"<p>11. Before the sunrise, when the day breaks, the period is called Prātaḥsandhyā. It delights the Gods.</p>",,
022-07,"<p>12. When the sun has set and assumed the hue of a red lotus, the period of Sāyaṃsandhyā sets in. It is delightful to the manes.</p>",,
022-07,"<p>13. Śiva the merciful, created embodied beings with her vital airs, mind and the divine body.</p>",,
022-07,"<p>14. At the end of the sacrifice, the sage found his daughter in the sacrificial pit shining lustrously like heated gold.</p>",,
022-07,"<p>15. With very great delight the sage took up the daughter, O sage, as though she were a sacrificial article. He bathed her and kept her on his lap.</p>",,
022-07,"<p>16. The great sage gave her the name Arundhatī. Surrounded by his disciples he celebrated the event joyously.</p>",,
022-07,"<p>17. The word Arundhatī means &ldquo;one who does not hinder sacred rites in any manner whatsoever&rdquo;. She acquired this name which later on became well-known in the three worlds.</p>",,
022-07,"<p>18. O celestial sage, that sage concluded the sacrifice with great contentment and was delighted at the acquisition of a daughter. He spent his days in the same hermitage along with his disciples, tending the daughter, mercifully.</p>",,
022-07,"<p>19. The divine lady grew up in the hermitage, Tāpasāraṇya, on the banks of the river&mdash;Candrabhāgā.</p>",,
022-07,"<p>20. When she reached her fifth year, the chaste lady sanctified the environs of the Tāpasāraṇya and the river Candrabhāgā, by virtue of her good qualities.</p>",,
022-07,"<p>21. Brahmā, Viṣṇu and Śiva got her marriage celebrated with Vasiṣṭha, the son of Brahmā.</p>",,
022-07,"<p>22. O sage, great festivities in the marriage ceremony increased happiness. The sages and the Gods were very happy on that account.</p>",,
022-07,"<p>23. From the water oozing from the hands of Brahmā, Viṣṇu and Śiva, the seven holy rivers Śiprā and others rose and flowed.</p>",,
022-07,"<p>24. O sage, Arundhatī, the daughter of Medhātithi, the greatest of all chaste ladies shone all the more on attaining Vasiṣṭha.</p>",,
022-07,"<p>25. O excellent sage, she secured Vasiṣṭha and bore the auspicious sons Śakti etc.</p>",,
022-07,"<p>26-27. O excellent sage, I have narrated to you the story of Sandhyā. It is holy, sanctifying, divine and bestower of all benefits. He or she who hears this story accompanied by auspicious rites attains all cherished desires. There is no doubt about it.</p>",,
022-08,"<h1>Chapter 8 - The description of the form and features of Vasanta</h1>",,
022-08,"<h2><em>Sūta Said</em>:&mdash;</h2>",,
022-08,"<p>1. After hearing the words of Brahmā, Prajāpati, Nārada became delighted in his mind and spoke these words.</p>",,
022-08,"<h2><em>Nārada said</em>:&mdash;</h2>",,
022-08,"<p>2. O Brahmā, the great disciple of Viṣṇu, endowed with great intellect, you are a blessed devotee of Śiva and a guide to the understanding of the great principle.</p>",,
022-08,"<p>3. You have narrated the divine story of Arundhatī and her previous form. It increases our devotion to Śiva.</p>",,
022-08,"<p>4. Now, O knower of virtue, please tell me the excellent story of Śiva, that quells all sins and is very excellent bestower of all auspicious benefits.</p>",,
022-08,"<p>5. When Kāma was delighted after taking a wife to himself, when Sandhyā had gone to perform penance and when others had also left, what happened?</p>",,
022-08,"<h2><em>Sūta said</em>:&mdash;</h2>",,
022-08,"<p>6. On hearing the words of that sage of magnanimous soul, Brahmā became more pleased and spoke as follows:</p>",,
022-08,"<h2><em>Brahmā said</em>:&mdash;</h2>",,
022-08,"<p>7. O great brahmin, Nārada, listen with devotion to the auspicious story of Śiva&rsquo;s divine sports. You are a blessed devotee of Śiva.</p>",,
022-08,"<p>8. O dear one, since I vanished from that place highly distressed by the poisonous words of Śiva, I had been thinking about that alone, since I had been in delusion still.</p>",,
022-08,"<p>9. After thinking about it for a long time I began to nurse malicious grudge against Śiva, here again being deluded by Śiva&rsquo;s Māyā. I shall explain it to you. Listen.</p>",,
022-08,"<p>10. Then I went to the place where Dakṣa and others were present. On seeing Kāma in the company of Rati I was a little elated.</p>",,
022-08,"<p>11. O Nārada, addressing Dakṣa and the other sons I spoke these words, deluded by Śiva&rsquo;s illusion.</p>",,
022-08,"<p>12. &ldquo;O Dakṣa, O Marīci and others, my sons, listen to my words. After hearing you shall all find out a remedy for dispelling my distress.</p>",,
022-08,"<p>13. Taking into consideration the only fact of harbouring a desire for woman Śiva despised me and you. It is because He is a great Yogin that He reproached us much.</p>",,
022-08,"<p>14. Hence I am greatly distressed and I do not get mental peace at all. Such an effort must definitely be made as would make Him take a wife unto Himself.</p>",,
022-08,"<p>15. I shall become happy and be free from misery when He takes a wife unto Himself. But on reflection I feel that it is impossible to realise the accomplishment of this desire.</p>",,
022-08,"<p>16. Taking into consideration the only fact that I harboured a desire for woman, Śiva rebuked me in the presence of sages. How will He then take a wife unto Himself?</p>",,
022-08,"<p>17. Who can be that woman in the three worlds who will ever haunt his mind, make him neglect the path of Yoga and delude him?</p>",,
022-08,"<p>18. Even Kāma will not be competent to delude Him. He is a Yogin of great perfection and He does not brook even the name of women.</p>",,
022-08,"<p>19. Unless the primordial Being Śiva indulges in sexual sport, the creation would continue to be mediocre, its course being unchecked as the Lord himself has stated.</p>",,
022-08,"<p>20. On the earth there may be great Asuras bound by illusion. Some are bound by the illusion of Viṣṇu and others by the illusion of Śiva.</p>",,
022-08,"<p>21. In regard to Śiva who has turned away from the world and who is extremely detached, nothing else except the endeavour of Kāma will be effective. There is no doubt about it.</p>",,
022-08,"<p>22. After saying this and casting meaningful glances at Dakṣa and other sons, I addressed Kāma and Rati with great pleasure.</p>",,
022-08,"<p>23. O Kāma, foremost among my sons, you are the bestower of happiness in every respect. Listen to my words with great attention in the company of your wife, O son of great filial affection.</p>",,
022-08,"<p>24. O Kāma, you shine well with this life-companion of yours. She too shines well with you as her husband.</p>",,
022-08,"<p>25-26. Just as Viṣṇu with Lakṣmī and Lakṣmī with Viṣṇu, just as the night with the moon and the moon with the night, so you two mutually illuminate each other and tend your matrimonial life. Hence you will be the banner of the universe, nay the banner of the whole cosmos.</p>",,
022-08,"<p>27. O dear one, you shall enchant Śiva for the benefit of the universe so that Śiva may be included to take a wife unto Himself.</p>",,
022-08,"<p>28-29. In a secluded or in a crowded place, on mountains or in lakes, wherever Śiva goes, you shall follow Him along with your mistress and charm him who has controlled Himself and who is averse to women. Excepting you there is no one to delude Him.<sup>243</sup></p>",,
022-08,"<p>30. O Kāma, it is only when Śiva falls in love that you will get redemption from the course. Hence do what is good for you.</p>",,
022-08,"<p>31-32. Lord Śiva as a noble Being shall save you only when he falls in love and aspires for a wife. Hence with your wife to help you, strive to captivate Śiva. Earn the laurels of the universe after charming Him.</p>",,
022-08,"<p>33. On hearing these words of mine, who am his father and the lord of the universe, Kāma spoke these words to me, the lord of all the worlds.</p>",,
022-08,"<h2><em>Kāma said</em>:&mdash;</h2>",,
022-08,"<p>34. O lord, I shall cause the delusion of Śiva at your bidding; but my prime weapon is a woman. Hence O lord, you shall create a comely maiden.</p>",,
022-08,"<p>35. O creator, arrange for the way how Śiva has to be further enchanted after He has been deluded by me.</p>",,
